,Width,Length,Height,Orientation,Window_Ratio,Skylight_Ratio,Area,Court_Length,Court_Width,Form_Factor,Surface_Volume_Ratio,Cooling_Load,Heating_Load,Total_Load,Image,ThreeD,Shape
59,30,30,8,135,0.4,0.2,1800,8.0,8.0,1.53333333,0.38333333,47.25209422,0.94265347,48.1947477,WIDTH60_LENGTH50_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH50_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
60,30,30,8,180,0.4,0.2,1800,8.0,8.0,1.53333333,0.38333333,47.39158435,0.86709215,48.2586765,WIDTH30_LENGTH60_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH60_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
61,30,30,8,225,0.4,0.2,1800,8.0,8.0,1.53333333,0.38333333,47.25015318,0.94341556,48.19356874,WIDTH40_LENGTH60_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH60_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
62,30,30,8,270,0.4,0.2,1800,8.0,8.0,1.53333333,0.38333333,47.39158435,0.86709215,48.2586765,WIDTH50_LENGTH60_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH60_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
63,30,30,8,315,0.4,0.2,1800,8.0,8.0,1.53333333,0.38333333,47.25209422,0.94265347,48.19474769,WIDTH60_LENGTH60_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH60_HIGHT8_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
64,30,30,8,0,0.1,0.3,1800,8.0,8.0,1.53333333,0.38333333,44.82299024,1.49079611,46.31378635,WIDTH30_LENGTH30_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH30_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
65,30,30,8,45,0.1,0.3,1800,8.0,8.0,1.53333333,0.38333333,44.68969107,1.55851848,46.24820956,WIDTH40_LENGTH30_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH30_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
66,30,30,8,90,0.1,0.3,1800,8.0,8.0,1.53333333,0.38333333,44.82299024,1.49079611,46.31378635,WIDTH50_LENGTH30_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH50_LENGTH30_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
67,30,30,8,135,0.1,0.3,1800,8.0,8.0,1.53333333,0.38333333,44.70137887,1.55512009,46.25649895,WIDTH60_LENGTH30_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH60_LENGTH30_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
68,30,30,8,180,0.1,0.3,1800,8.0,8.0,1.53333333,0.38333333,44.82299024,1.49079611,46.31378635,WIDTH30_LENGTH40_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH30_LENGTH40_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
69,30,30,8,225,0.1,0.3,1800,8.0,8.0,1.53333333,0.38333333,44.70137887,1.55512009,46.25649895,WIDTH40_LENGTH40_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%_3Dview.png,WIDTH40_LENGTH40_HIGHT12_ORIENTATION45_WINDOWSRATIO10%_SKYLIGHTRATIO10%.json,Box
